10  2.25874049e+05   2.17412651e+05   4.29721720e+05   5.08819876e+08
11  3.09593545e+05   2.28913138e+05   3.68726651e+05   6.30760346e+08
12  3.06330309e+05   2.27302208e+05   3.07806475e+05   6.53725686e+08
13  3.06155722e+05   2.25475776e+05   2.20344625e+05   7.26966167e+08
14  3.05157116e+05   2.23426433e+05   1.38157621e+05   6.69845407e+08
15  3.01937211e+05   2.07321302e+05   8.43309426e+04   6.22965779e+08
16  2.94096810e+05   2.02902191e+05   4.62169303e+04   5.12237610e+08
17  2.83814746e+05   1.99180541e+05   2.49450612e+04   3.26313562e+08
18  2.77058144e+05   1.92626769e+05   1.31468717e+04   2.45802007e+08
19  2.71799798e+05   1.89982914e+05   6.92153391e+03   2.23686669e+08
20  2.54419116e+05   1.88270403e+05   3.58343013e+03   1.95222606e+08
21  2.43894261e+05   1.80793797e+05   1.89148926e+03   1.49826369e+08
