22,200433.9045012016,351375.642853206,992756.1462576125,80748106.8402627
21,208004.8473935877,361310.7601335871,1080883.744872108,101989292.9298527
20,225809.0941759683,388632.2823167178,1178583.731061453,121517985.0996018
19,259870.7814538572,406317.7737101623,1241917.932797222,143508815.7989854
18,291622.1538593949,429355.0298613851,1197456.292961472,154922297.8877706
17,316453.0770889675,466798.487315485,1447747.345118184,166665429.1733039
16,332727.6899367809,477247.3807126385,1499465.07067629,200746126.4396923
15,346903.9200756965,484151.3670475841,1569000.513399508,233821733.3409891
14,362346.6725511539,498336.461153282,1605499.127207629,268809531.7644182
13,377064.1869203493,500838.8804358323,1616258.592430786,272980691.140573
12,391825.7453255808,496958.900318195,1581011.991947637,308470325.3776232
11,398012.6826154822,483495.6377132284,1492765.868056913,324953194.1647949
10,85512.40229959434,131206.3876460379,1314073.558389904,305691622.4911032
