scale	N	K0	K1	K2	K3
18	4194304	1.54351e+06	1.84232e+06	3.97165e+06	2.85721e+08
19	8388608	1.32909e+06	1.40726e+06	3.93268e+06	2.54489e+08
20	16777216	1.42853e+06	1.77547e+06	3.75212e+06	2.17423e+08
21	33554432	1.30375e+06	1.62825e+06	3.74244e+06	1.69539e+08
22	67108864	1.62643e+06	1.61502e+06	3.63251e+06	1.34892e+08
#	C++	run	on	2015-10-26	20:40:32	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.89103e+06	1.79018e+06	3.14852e+06	5.41327e+08
11	32768	2.15546e+06	2.21459e+06	3.70986e+06	6.28618e+08
12	65536	2.59791e+06	2.88378e+06	4.61701e+06	7.46166e+08
13	131072	3.22981e+06	3.82627e+06	5.71616e+06	9.49318e+08
14	262144	3.83236e+06	4.13427e+06	5.43233e+06	8.8981e+08
15	524288	3.5609e+06	4.02474e+06	5.10131e+06	7.79359e+08
16	1048576	3.36666e+06	3.94203e+06	4.79783e+06	6.62781e+08
17	2097152	2.72749e+06	2.94245e+06	4.03671e+06	4.12708e+08
18	4194304	2.04377e+06	2.24078e+06	3.98208e+06	2.86613e+08
19	8388608	1.59947e+06	1.95478e+06	3.95714e+06	2.54468e+08
20	16777216	1.56539e+06	1.85395e+06	3.87259e+06	2.2202e+08
21	33554432	1.46591e+06	1.42312e+06	3.78293e+06	1.70716e+08
22	67108864	1.57478e+06	1.64851e+06	3.62921e+06	1.30324e+08
#	C++	run	on	2015-10-26	20:44:11	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	2.01235e+06	1.9309e+06	3.2789e+06	5.78005e+08
11	32768	2.27225e+06	2.30059e+06	3.80315e+06	6.52397e+08
12	65536	2.68932e+06	2.95543e+06	4.69646e+06	7.69906e+08
13	131072	3.37757e+06	3.97976e+06	5.76682e+06	9.31923e+08
14	262144	3.83799e+06	4.13832e+06	5.39837e+06	8.72104e+08
15	524288	3.57416e+06	4.01939e+06	5.06436e+06	7.55262e+08
16	1048576	3.39373e+06	4.00118e+06	4.84135e+06	6.50848e+08
17	2097152	2.78257e+06	2.94459e+06	4.04846e+06	4.32079e+08
18	4194304	2.03452e+06	2.27296e+06	3.96845e+06	2.85107e+08
19	8388608	1.718e+06	1.87178e+06	3.95239e+06	2.56838e+08
20	16777216	1.47759e+06	1.82597e+06	3.85832e+06	2.21075e+08
